index,Name,Gender,Document_Type,Document_Number,Address,New_DOB,Name_clean,Address_clean,Document_Number_clean,Document_valid,Combined_Text,Record_ID,Group_ID,Name_Length,Address_Length,Name_Freq,Address_Freq,Group_Size,Name_Encoded,Address_Encoded,Fraud_Label,Fraud_Probability,Fraud_Prediction,Risk_Level,Image_File,OCR_Text,OCR_Similarity,OCR_Match,Duplicate_Image_Flag,Final_Risk_Score,Final_Risk_Level,Gender_clean,Document_type_clean,DOB,Document_format,Combined_Data,Duplicate_Group_ID,Fraud_Risk_Score,Fraud_Risk_Level
501,Trisha Golla,Other,,Missing,"50, Ranganathan, Madurai-563512",11-10-1980,trisha golla,50 ranganathan madurai563512,NONE,False,trisha golla 50 ranganathan madurai 563512,501,502,12,29,1,1,1,2113,772,0,0.02,0,Low,img_1.jpg,trisha golla,1.0,Match,Yes,0.212,Low,other,nan,Unknown,False,trisha golla other Unknown nan Missing 50 ranganathan madurai563512,-1,0.4,Medium
502,Heer Bora,Other,Passport,K4706707,"81/96, Gopal Nagar, Bhavnagar-138128",01-02-1976,heer bora,8196 gopal nagar bhavnagar138128,K4706707,True,heer bora 81 96 gopal nagar bhavnagar 138128,502,503,9,34,1,1,1,760,1287,0,0.1,0,Low,img_2.jpg,heer bora,1.0,Match,Yes,0.26,Low,other,passport,Unknown,True,heer bora other Unknown passport K4706707 8196 gopal nagar bhavnagar138128,-1,0.0,Low
503,Anay Gokhale,Other,PAN,VKTTG4979Z,"74/916, Vora Ganj, Jhansi-362743",16-05-1973,anay gokhale,74916 vora ganj jhansi362743,VKTTG4979Z,True,anay gokhale 74 916 vora ganj jhansi 362743,503,504,12,30,1,1,1,224,1156,0,0.16,0,Low,img_3.jpg,anay gokhale,1.0,Match,Yes,0.296,Low,other,pan,Unknown,True,anay gokhale other Unknown pan VKTTG4979Z 74916 vora ganj jhansi362743,-1,0.0,Low
504,Aarna Saran,Female,Aadhaar,5958 8925 3236,"12/34, Barman Nagar, Khandwa 327062",12-10-2001,aarna saran,1234 barman nagar khandwa 327062,5.95889E+11,True,aarna saran 12 34 barman nagar khandwa 327062,504,505,11,33,1,1,1,24,168,0,0.04,0,Low,img_4.jpg,aarna saran,1.0,Match,Yes,0.224,Low,female,aadhaar,Unknown,False,aarna saran female Unknown aadhaar 5958 8925 3236 1234 barman nagar khandwa 327062,-1,0.4,Medium
505,Jivika Dash,Female,PAN,YBCAD5933A,"072, Lad Path, Muzaffarnagar 949885",29-05-1977,jivika dash,072 lad path muzaffarnagar 949885,YBCAD5933A,True,jivika dash 072 lad path muzaffarnagar 949885,505,506,11,33,1,1,1,1012,109,0,0.02,0,Low,img_5.jpg,hsad akivij,0.27,Mismatch,Yes,0.358,Low,female,pan,Unknown,True,jivika dash female Unknown pan YBCAD5933A 072 lad path muzaffarnagar 949885,-1,0.0,Low
506,Anahi Ravi,Male,Passport,Q3308176,"47/702, Sachdeva, Kadapa 688851",29-12-1993,anahi ravi,47702 sachdeva kadapa 688851,Q3308176,True,anahi ravi 47 702 sachdeva kadapa 688851,506,507,10,29,1,1,1,197,730,1,0.73,1,High,img_6.jpg,anahi ravi,1.0,Match,Yes,0.638,Medium,male,passport,Unknown,True,anahi ravi male Unknown passport Q3308176 47702 sachdeva kadapa 688851,-1,0.0,Low
507,Manikya Yadav,Female,Aadhaar,6372 4309 6968,"39, Dass Nagar, Jalna 861329",28-05-1987,manikya yadav,39 dass nagar jalna 861329,6.37243E+11,True,manikya yadav 39 dass nagar jalna 861329,507,508,13,26,1,1,1,1286,604,0,0.02,0,Low,img_7.jpg,manikya yadav,1.0,Match,Yes,0.212,Low,female,aadhaar,Unknown,False,manikya yadav female Unknown aadhaar 6372 4309 6968 39 dass nagar jalna 861329,-1,0.4,Medium
508,Manjari Keer,Male,Passport,B2342771,"H.No. 973, Choudhary, New Delhi 317280",02-07-1987,manjari keer,hno 973 choudhary new delhi 317280,B2342771,True,manjari keer h no 973 choudhary new delhi 317280,508,509,12,35,1,1,1,1291,2357,1,0.07,0,Low,img_8.jpg,manjari keer,1.0,Match,Yes,0.242,Low,male,passport,Unknown,True,manjari keer male Unknown passport B2342771 hno 973 choudhary new delhi 317280,-1,0.0,Low
509,Charvi Boase,Male,Passport,S7811427,,12-06-2000,charvi boase,nan,S7811427,True,charvi boase none,509,510,12,4,1,122,1,434,2378,0,0.0,0,Low,img_9.jpg,charvi boase,1.0,Match,Yes,0.2,Low,male,passport,Unknown,True,charvi boase male Unknown passport S7811427 nan,-1,0.0,Low
510,Pranay Tara,Other,PAN,VZHJT5874J,"07/676, Bajaj Nagar, Srinagar-984697",17-06-1975,pranay tara,07676 bajaj nagar srinagar984697,VZHJT5874J,True,pranay tara 07 676 bajaj nagar srinagar 984697,510,511,11,34,1,1,1,1587,106,0,0.04,0,Low,img_0.jpg,pranay tara,1.0,Match,Yes,0.224,Low,other,pan,Unknown,True,pranay tara other Unknown pan VZHJT5874J 07676 bajaj nagar srinagar984697,-1,0.0,Low
